Value;English;German
8324410;Holy Relic;Heiliges Relikt
8324411;Flame Cameo;Gemme der Flammen
8324412;Storm Cameo;Gemme des Sturms
8324413;Frost Cameo;Gemme des Frosts
8324414;Lytic Brooch;Brosche der Säure
8324415;Venom Brooch;Brosche des Gifts
8324416;Elf's Escape;Elfen-Erlösung
8324417;Banshee's Requiem;Requiem der Todesfee
8324418;Dwarf's Gratitude;Winzlings Dankbarkeit
8324419;Leanan Sidhe's Devotion;Hingabe der Muse
8324420;Milton's Kerchief;Miltons Taschentuch
8324421;Zuido's Eyepatch;Zuidos Augenklappe
8324422;Ludope's Visor;Ludopes Visor
8324423;Bandana of Grooming;Halstuch der Pflege
8324424;Tippet of Girding;Umhang der Bereitschaft
8324425;Stole of Grating;Stola des Knirschens
8324426;Monocle of Guiding;Monokel der Führung
8324427;Alpaca Swathe;Alpakatuch
8324428;Angora Fleece;Angora-Vlies
8324429;Linen Knit;Leinentuch
8324430;Rubber Shawl;Gummischal
8324431;Fiend Tippet;Monsterumhang
8324432;Bloody Lipstick;Blutiger Lippenstift
8324433;Ragna-rock;Ragnarok
