Offset;English;German;Type
21300;Captured Bloodypaw;Gefangene Blutpfote;Captured Monster
21312;Captured Sarutahiko;Gefangener Sarutahiko;Captured Monster
21324;Captured Yellowcap Soldier;Gefangener Gelbmützen-Soldat;Captured Monster
21336;Captured Ravenhowl;Gefangener Rabenschrei;Captured Monster
21348;Captured Malevolence;Gefangene Niedertracht;Captured Monster
21360;Captured Redcap Champion;Gefangener Rotmützen-Soldat;Captured Monster
21372;Captured Hypnos;Gefangener Hypnos;Captured Monster
21384;Captured Raginos;Gefangener Raginos;Captured Monster
21396;Captured Glagonos;Gefangener Glagonos;Captured Monster
21408;Captured Pygmalion;Gefangener Pygmäe;Captured Monster
21420;Captured Jade Golem;Gefangener Jadegolem;Captured Monster
21432;Captured Suicide;Gefangener Selbstmord;Captured Monster
21444;Captured Nucadora;Gefangener Nucadora;Captured Monster
21456;Captured Thanatos;Gefangener Thanatos;Captured Monster
21468;Captured Prometheus;Gefangener Prometheus;Captured Monster
21480;Captured Daedalus;Gefangener Daedalus;Captured Monster
21492;Captured Madman;Gefangener Verrückter;Captured Monster
21504;Captured Raptor;Gefangener Raptor;Captured Monster
21516;Captured Wild Raptor;Gefangener Wilder Raptor;Captured Monster
21528;Captured Bullfighter;Gefangener Stierkämpfer;Captured Monster
21540;Captured King Raptor;Gefangener Königsraptor;Captured Monster
21552;Captured Wild Raptor;Gefangener Wilder Raptor;Captured Monster
21564;Captured Bullfighter;Gefangener Stierkämpfer;Captured Monster
21576;Captured Bloodthirsty Beast;Gefangene Blutrünstige Bestie;Captured Monster
21588;Captured Carnotaurus;Gefangener Carnotaurus;Captured Monster
21600;Captured Jota;Gefangener Jota;Captured Monster
21612;Captured Miura;Gefangener Miura;Captured Monster
21624;Captured Islero;Gefangener Islero;Captured Monster
21636;Captured Urraco;Gefangener Urraco;Captured Monster
21648;Captured Jarama;Gefangener Jarama;Captured Monster
21660;Captured Espada;Gefangener Espada;Captured Monster
21672;Captured Divain;Gefangener Divain;Captured Monster
21684;Captured Flauros;Gefangener Flauros;Captured Monster
21696;Captured VÃ¡nargand;Gefangener Vanargand;Captured Monster
21708;Captured Divain;Gefangener Divain;Captured Monster
21720;Captured Greater Flauros;Gefangener Riesenflauros;Captured Monster
21732;Captured VÃ¡nargand;Gefangener Vanargand;Captured Monster
21744;Captured Fatal Fang;Gefangener Tödlicher Reißzahn;Captured Monster
21756;Captured Skoll;Gefangener Skoll;Captured Monster
21768;Captured Swiftmane;Gefangene Flinkmähne;Captured Monster
21780;Captured Sharpclaw;Gefangene Scharfklaue;Captured Monster
21792;Captured Ophois;Gefangener Ophois;Captured Monster
21804;Captured Bloodhorn;Gefangenes Bluthorn;Captured Monster
21816;Captured Spritbeast Ki;Gefangene Seelenbestie Ki;Captured Monster
21828;Captured Spritbeast Rin;Gefangene Seelenbestie Rin;Captured Monster
21840;Captured Chimera;Gefangene Schimäre;Captured Monster
21852;Captured Misericorde;Gefangene Misericorde;Captured Monster
21864;Captured Rockgrater;Gefangener Felsschaber;Captured Monster
21876;Captured King Chimera;Gefangene Königsschimäre;Captured Monster
21888;Captured Misericorde;Gefangene Misericorde;Captured Monster
21900;Captured Greater Rockgrater;Gefangener Riesenfelsschaber;Captured Monster
21912;Captured Ground Cobra;Gefangene Erdkobra;Captured Monster
21924;Captured Notsuchi;Gefangener Notsuchi;Captured Monster
21936;Captured Death Puppet;Gefangene Todespuppe;Captured Monster
21948;Captured Hellbiter;Gefangener Höllenbeißer;Captured Monster
21960;Captured Obstructor;Gefangener Blockierer;Captured Monster
21972;Captured Antares;Gefangener Antares;Captured Monster
21984;Captured Echidna;Gefangene Echidna;Captured Monster
21996;Captured Rapunzel;Gefangene Rapunzel;Captured Monster
22008;Captured Hydra;Gefangene Hydra;Captured Monster
22020;Captured Torpedo;Gefangener Torpedo;Captured Monster
22032;Captured Bune;Gefangener Bune;Captured Monster
22044;Captured Hydra;Gefangene Hydra;Captured Monster
22056;Captured Torpedo;Gefangener Torpedo;Captured Monster
22068;Captured Bune;Gefangener Bune;Captured Monster
22080;Captured Bluejaws;Gefangener Blauhai;Captured Monster
22092;Captured Siren;Gefangene Sirene;Captured Monster
22104;Captured Orca;Gefangener Killerwal;Captured Monster
22116;Captured Boina;Gefangener Boina;Captured Monster
22128;Captured Starfish;Gefangener Seestern;Captured Monster
22140;Captured Medusa;Gefangene Medusa;Captured Monster
22152;Captured Stheno;Gefangener Stheno;Captured Monster
22164;Captured Euryale;Gefangener Euryale;Captured Monster
22176;Captured Imp;Gefangener Wichtel;Captured Monster
22188;Captured Quien;Gefangener Quien;Captured Monster
22200;Captured Donda;Gefangener Donda;Captured Monster
22212;Captured Imp;Gefangener Wichtel;Captured Monster
22224;Captured Quien;Gefangener Quien;Captured Monster
22236;Captured Dondada;Gefangener Dondada;Captured Monster
22248;Captured Crimson Ape;Gefangener Blutroter Menschenaffe;Captured Monster
22260;Captured Pan;Gefangener Schimpanse;Captured Monster
22272;Captured Golden Ape;Gefangener Goldener Menschenaffe;Captured Monster
22284;Captured Silver Ape;Gefangener Silberner Menschenaffe;Captured Monster
22296;Captured Satyri;Gefangener Satyri;Captured Monster
22308;Captured Sugriva;Gefangener Sugriva;Captured Monster
22320;Captured Vali;Gefangener Vali;Captured Monster
22332;Captured Hanumann;Gefangener Hanumann;Captured Monster
22344;Captured Vile Lizard;Gefangene Abscheuliche Echse;Captured Monster
22356;Captured Basilisk;Gefangener Basilisk;Captured Monster
22368;Captured Nidhogg;Gefangener Nidhogg;Captured Monster
22380;Captured Vile Lizard;Gefangene Abscheuliche Echse;Captured Monster
22392;Captured Basilisk;Gefangener Basilisk;Captured Monster
22404;Captured Nidhogg;Gefangener Basilisk;Captured Monster
22416;Captured Vile Lizard;Gefangene Abscheuliche Echse;Captured Monster
22428;Captured Basilisk;Gefangener Basilisk;Captured Monster
22440;Captured Nidhogg;Gefangener Nidhogg;Captured Monster
22452;Captured Rockbiter;Gefangener Felsbeißer;Captured Monster
22464;Captured Stegosauria King;Gefangener Stegosauruskönig;Captured Monster
22476;Captured Amethyst Eater;Gefangener Amethystfresser;Captured Monster
22488;Captured Lil Salamander;Gefangener Kleiner Salamander;Captured Monster
22500;Captured Cavemaster;Gefangener Höhlenmeister;Captured Monster
22512;Captured Ore Crunsher;Gefangener Erzknirscher;Captured Monster
22524;Captured Gleaming Basilisk;Gefangener Glänzender Basilisk;Captured Monster
22536;Captured Poison Lizard;Gefangene Giftechse;Captured Monster
22548;Captured Feral Fang;Gefangener Wilder Reißzahn;Captured Monster
22560;Captured Azhdaha;Gefangener Azhdaha;Captured Monster
22572;Captured Weredragon;Gefangener Werdrache;Captured Monster
22584;Captured Feral Fang;Gefangener Wilder Reißzahn;Captured Monster
22596;Captured Great Azhdaha;Gefangener Riesenazhdaha;Captured Monster
22608;Captured Weredragon;Gefangener Werdrache;Captured Monster
22620;Captured Nanotyrannus;Gefangener Nanotyrannus;Captured Monster
22632;Captured Crazer;Gefangener Crazer;Captured Monster
22644;Captured Dracos Blood;Gefangenes Drachenblut;Captured Monster
22656;Captured Roaming Warrior;Gefangener Streunender Krieger;Captured Monster
22668;Captured Cheiron;Gefangener Cheiron;Captured Monster
22680;Captured Pholus;Gefangener Pholus;Captured Monster
22692;Captured Distress;Gefangenes Elend;Captured Monster
22704;Captured Greentop;Gefangene Grünspitze;Captured Monster
22716;Captured Demon;Gefangener Dämon;Captured Monster
22728;Captured Demon King;Gefangener Dämonenkönig;Captured Monster
22740;Captured Greater Demon;Gefangener Riesendämon;Captured Monster
22752;Captured Demon;Gefangener Dämon;Captured Monster
22764;Captured Demon King;Gefangener Dämonenkönig;Captured Monster
22776;Captured Greater Demon;Gefangener Riesendämon;Captured Monster
22788;Captured Mad Demon;Gefangener Verrückter Dämon;Captured Monster
22800;Captured Savage Commander;Gefangener Grausamer Kommandant;Captured Monster
22812;Captured Fatal Claw;Gefangene Mörderklaue;Captured Monster
22824;Captured Bloody Death;Gefangener Blutiger Tod;Captured Monster
22836;Captured Jurupari;Gefangener Walddämon;Captured Monster
22848;Captured Mictlantecuhtli;Gefangener Totengott;Captured Monster
22860;Captured Void Intruder;Gefangener Eindringling der Leere;Captured Monster
22872;Captured Bluetalon;Gefangene Blaukralle;Captured Monster
22884;Captured Manticore;Gefangener Mantikor;Captured Monster
22896;Captured Nussknacker;Gefangener Nussknacker;Captured Monster
22908;Captured Deathclaw;Gefangene Todesklaue;Captured Monster
22920;Captured Manticore;Gefangener Mantikor;Captured Monster
22932;Captured Nussknacker;Gefangener Nussknacker;Captured Monster
22944;Captured Deathclaw;Gefangene Todesklaue;Captured Monster
22956;Captured Manticore;Gefangener Mantikor;Captured Monster
22968;Captured Nussknacker;Gefangener Nussknacker;Captured Monster
22980;Captured Deathclaw;Gefangene Todesklaue;Captured Monster
22992;Captured Abominable Beast;Gefangene Widerwärtige Bestie;Captured Monster
23004;Captured Longtail Soldier;Gefangener Langschwanz-Soldat;Captured Monster
23016;Captured Paraponera;Gefangener Paraponera;Captured Monster
23028;Captured Ancient Blue;Gefangener Uralter Blauer;Captured Monster
23040;Captured Yvalmock;Gefangener Yvalmock;Captured Monster
23052;Captured Nephthys;Gefangener Nephthys;Captured Monster
23064;Captured BloodyNussknacker;Gefangener Blutiger Nussknacker;Captured Monster
23076;Captured Yvalock;Gefangener Yvalock;Captured Monster
23088;Captured Crab;Gefangene Krabbe;Captured Monster
23100;Captured Rockshell;Gefangener Felspanzer;Captured Monster
23112;Captured Armorshell;Gefangene Harnischmuschel;Captured Monster
23124;Captured Giant Crab;Gefangene Riesenkrabbe;Captured Monster
23136;Captured Rockshell;Gefangener Felspanzer;Captured Monster
23148;Captured Giant Armorshell;Gefangene Riesenharnischmuschel;Captured Monster
23160;Captured Ogreface;Gefangenes Ogergesicht;Captured Monster
23172;Captured Ocypode;Gefangene Geisterkrabbe;Captured Monster
23184;Captured Hairy Crab;Gefangene Haarige Krabbe;Captured Monster
23196;Captured Deathcaller;Gefangener Todesrufer;Captured Monster
23208;Captured Death Tank;Gefangener Todespanzer;Captured Monster
23220;Captured Blossom;Gefangene Blüte;Captured Monster
23232;Captured Floridus;Gefangener Floridus;Captured Monster
23244;Captured Executioner;Gefangener Henker;Captured Monster
23256;Captured Dpider;Gefangene Spinne;Captured Monster
23268;Captured Grand Spider;Gefangene Riesenspinne;Captured Monster
23280;Captured Arachnid;Gefangener Arachnid;Captured Monster
23292;Captured Giant Spider;Gefangene Gigantula;Captured Monster
23304;Captured Grand Spider;Gefangene Riesenspinne;Captured Monster
23316;Captured Arachnid;Gefangener Arachnid;Captured Monster
23328;Captured Fibroin;Gefangener Fibroi;Captured Monster
23340;Captured Whitehorn;Gefangenes Weißhorn;Captured Monster
23352;Captured Scarlet Beetle;Gefangener Scharlachkäfer;Captured Monster
23364;Captured Axhead;Gefangener Axtkopf;Captured Monster
23376;Captured Opiliones;Gefangener Weberknecht;Captured Monster
23388;Captured Jagd Beetle;Gefangener Jagdkäfer;Captured Monster
23400;Captured Figurehead;Gefangene Galionsfigur;Captured Monster
23412;Captured Venomspewer;Gefangener Giftspucker;Captured Monster
23424;Captured Landworm;Gefangener Landwurm;Captured Monster
23436;Captured Pest;Gefangene Pest;Captured Monster
23448;Captured Killer Insect;Gefangenes Killerinsekt;Captured Monster
23460;Captured Landworm;Gefangener Landwurm;Captured Monster
23472;Captured SS Pest;Gefangene Killerpest;Captured Monster
23484;Captured Killer Insect;Gefangenes Killerinsekt;Captured Monster
23496;Captured Violet Leafhopper;Gefangener Violetter Blatthüpfer;Captured Monster
23508;Captured Prowler;Gefangener Herumtreiber;Captured Monster
23520;Captured Pale Leafhopper;Gefangener Blasser Blatthüpfer;Captured Monster
23532;Captured Bruchid;Gefangener Bruchnid;Captured Monster
23544;Captured 7-Year-Old Larvae;Gefangene 7 Jahre alte Larve;Captured Monster
23556;Captured Pilifera;Gefangene Pilifera;Captured Monster
23568;Captured 17-Year-Old Larvae;Gefangene 17 Jahre alte Larve;Captured Monster
23580;Captured Deadly Pest;Gefangene Tödliche Pest;Captured Monster
23592;Captured Grand Beetle;Gefangener Riesenkäfer;Captured Monster
23604;Captured Millilegs;Gefangener Hundertfüßler;Captured Monster
23616;Captured Terrapest;Gefangene Erdpest;Captured Monster
23628;Captured Grand Pest;Gefangener Riesenkäfer;Captured Monster
23640;Captured Millilegs;Gefangener Hundertfüßler;Captured Monster
23652;Captured Terrapest;Gefangene Erdpest;Captured Monster
23664;Captured Senton;Gefangener Senton;Captured Monster
23676;Captured Millipede;Gefangener Tausendfüßler;Captured Monster
23688;Captured Sandcrawler;Gefangener Sandkriecher;Captured Monster
23700;Captured Cataphractus;Gefangener Kataphrakt;Captured Monster
23712;Captured Dora;Gefangene Dora;Captured Monster
23724;Captured Steamroller;Gefangener Dampfroller;Captured Monster
23736;Captured Gustav;Gefangener Gustav;Captured Monster
23748;Captured Gaias;Gefangene Gaias;Captured Monster
23760;Captured Glutton;Gefangener Vielfraß;Captured Monster
23772;Captured Leap Frog;Gefangener Springfrosch;Captured Monster
23784;Captured Abaddon;Gefangener Abaddon;Captured Monster
23796;Captured Glutton;Gefangener Vielfraß;Captured Monster
23808;Captured Leap Frog;Gefangener Springfrosch;Captured Monster
23820;Captured Abaddon;Gefangener Abaddon;Captured Monster
23832;Captured Glutton;Gefangener Vielfraß;Captured Monster
23844;Captured Leaf Frog;Gefangener Springfrosch;Captured Monster
23856;Captured Abaddon;Gefangener Abaddon;Captured Monster
23868;Captured Seia;Gefangene Seia;Captured Monster
23880;Captured Huracan Rana;Gefangener Hurrikanfrosch;Captured Monster
23892;Captured Firtoad;Gefangene Tannenkröte;Captured Monster
23904;Captured Apep;Gefangener Apep;Captured Monster
23916;Captured Ciclon Rana;Gefangener Zyklonfrosch;Captured Monster
23928;Captured Snowtoad;Gefangene Schneekröte;Captured Monster
23940;Captured Dragon Rana;Gefangener Drachenfrosch;Captured Monster
23952;Captured Vodianoi;Gefangener Vodianoi;Captured Monster
23964;Captured Oarfish;Gefangener Ruderfisch;Captured Monster
23976;Captured Wailing Larva;Gefangene Heulende Larve;Captured Monster
23988;Captured Apsara;Gefangener Aspara;Captured Monster
24000;Captured Oarfish;Gefangener Ruderfisch;Captured Monster
24012;Captured Wailing Larva;Gefangene Heulende Larve;Captured Monster
24024;Captured Apsara;Gefangener Aspara;Captured Monster
24036;Captured Clione;Gefangene Clione;Captured Monster
24048;Captured Malach;Gefangener Malach;Captured Monster
24060;Captured Maias;Gefangener Maias;Captured Monster
24072;Captured Malevolencia;Gefangene Malevolenzia;Captured Monster
24084;Captured Wandering Plague;Gefangener Wandernde Plage;Captured Monster
24096;Captured Clytie;Gefangene Clytie;Captured Monster
24108;Captured Lympha;Gefangene Lympha;Captured Monster
24120;Captured Fallen Angel;Gefangener Gefallener Engel;Captured Monster
24132;Captured Papillon;Gefangener Falter;Captured Monster
24144;Captured Nymphalidae;Gefangener Edelfalter;Captured Monster
24156;Captured Chdinamoth;Gefangene Schlangenmotte;Captured Monster
24168;Captured Grater Papillon;Gefangener Riesenfalter;Captured Monster
24180;Captured Greater Nymphalidae;Gefangener Riesenedelfalter;Captured Monster
24192;Captured Greater Echidnamoth;Gefangene Riesenschlangenmotte;Captured Monster
24204;Captured Deathmorph;Gefangener Todeswandler;Captured Monster
24216;Captured Divine Flyer;Gefangener Göttlicher Flieger;Captured Monster
24228;Captured Skipper;Gefangener Kapitän;Captured Monster
24240;Captured Swallowtail Devil;Gefangener Frackteufel;Captured Monster
24252;Captured Yamamai;Gefangener Seidenspinner;Captured Monster
24264;Captured Dreamwatcher;Gefangener Traumwächter;Captured Monster
24276;Captured Birdwing;Gefangene Vogelschwinge;Captured Monster
24288;Captured Artaxa;Gefangener Artaxa;Captured Monster
24300;Captured Amoeba;Gefangene Amöbe;Captured Monster
24312;Captured Dagon;Gefangener Seelenlord;Captured Monster
24324;Captured Charybdis;Gefangene Charibdis;Captured Monster
24336;Captured Giant Amoeba;Gefangene Riesenamöbe;Captured Monster
24348;Captured Dagon;Gefangener Dagon;Captured Monster
24360;Captured Charybdis;Gefangene Charibdis;Captured Monster
24372;Captured Running Sludge;Gefangener Fließender Schlamm;Captured Monster
24384;Captured Baroque Pearl;Gefangene Barockperle;Captured Monster
24396;Captured Liquid Lolly;Gefangener Flüssiger Schleim;Captured Monster
24408;Captured Octoeyes;Gefangenes Achtauge;Captured Monster
24420;Captured Ohaguro;Gefangener Ohaguro;Captured Monster
24432;Captured Nightmare;Gefangener Albtraum;Captured Monster
24444;Captured Blob;Gefangener Blob;Captured Monster
24456;Captured Dark;Gefangene Dunkelheit;Captured Monster
24468;Captured Rosefly;Gefangene Rosenfliege;Captured Monster
24480;Captured Shellfly;Gefangene Panzerfliege;Captured Monster
24492;Captured Anthophilum;Gefangene Antophila;Captured Monster
24504;Captured Rosefly;Gefangene Rosenfliege;Captured Monster
24516;Captured Giant Shellfly;Gefangene Riesenpanzerfliege;Captured Monster
24528;Captured Anthophilum;Gefangene Antophila;Captured Monster
24540;Captured Sesiidae;Gefangener Glaslügler;Captured Monster
24552;Captured Royal Guard;Gefangene Königswache;Captured Monster
24564;Captured Chigger;Gefangener Sandfloh;Captured Monster
24576;Captured Deathstinger;Gefangener Todesstachel;Captured Monster
24588;Captured Sonicflyer;Gefangener Schallflieger;Captured Monster
24600;Captured Goldenflyer;Gefangener Goldflieger;Captured Monster
24612;Captured Forgotten Queen;Gefangene Vergessene Königin;Captured Monster
24624;Captured Ruler of the Dawn;Gefangener Herrscher der Dämmerung;Captured Monster
24636;Captured Skull Scavanger;Gefangener Schädel-Aasfresser;Captured Monster
24648;Captured Vulture;Gefangener Aasgeier;Captured Monster
24660;Captured Hraesvelg;Gefangener Hraesvelg;Captured Monster
24672;Captured Guillotine Tail;Gefangener Fallbeilschwanz;Captured Monster
24684;Captured Tsikali;Gefangener Tsikali;Captured Monster
24696;Captured Onmoraki;Gefangener Onmoraki;Captured Monster
24708;Captured Jatayu;Gefangener Jatayu;Captured Monster
24720;Captured Sempati;Gefangene Sempati;Captured Monster
24732;Captured Nightingale;Gefangene Nachtigall;Captured Monster
24744;Captured Tsenahale;Gefangene Tsenahale;Captured Monster
24756;Captured Wakinyan;Gefangener Wakinyan;Captured Monster
24768;Captured Wyvern;Gefangener Flügeldrache;Captured Monster
24780;Captured Aeronite;Gefangener Aerolite;Captured Monster
24792;Captured Diatryma;Gefangene Diatryma;Captured Monster
24804;Captured Narwhal;Gefangener Narwal;Captured Monster
24816;Captured Deadly Swooper;Gefangener Tödlicher Schnapper;Captured Monster
24828;Captured Longbeak;Gefangener Langschnabel;Captured Monster
24840;Captured Archaeopteryx;Gefangener Archaeopteryx;Captured Monster
24852;Captured Lindblum;Gefangenes Lindblum;Captured Monster
24864;Captured Chua;Gefangener Chua;Captured Monster
24876;Captured Reaper;Gefangener Sensenmann;Captured Monster
24888;Captured Wrath;Gefangene Wut;Captured Monster
24900;Captured Blackwing;Gefangene Dunkelschwinge;Captured Monster
24912;Captured Spiritlord;Gefangener Seelenlord;Captured Monster
24924;Captured Glasya Labolas;Gefangene Glasya Labolas;Captured Monster
24936;Captured Mad Hurricane;Gefangener Wilder Hurrikan;Captured Monster
24948;Captured Seething Wind;Gefangener Brodelnder Wind;Captured Monster
24960;Captured Dominator;Gefangener Dominator;Captured Monster
24972;Captured Ikaros Feather;Gefangene Ikarusfeder;Captured Monster
24984;Captured Tempest;Gefangenes Gewitter;Captured Monster
24996;Captured Tornado;Gefangener Tornado;Captured Monster
25008;Captured Heaven's Lord;Gefangener Himmelherrscher;Captured Monster
25020;Captured Stymphalian Bird;Gefangener Stymphalidenvogel;Captured Monster
25032;Captured Vile Plant;Gefangene Abscheuliche Pflanze;Captured Monster
25044;Captured Anthrovore;Gefangener Fleischfresser;Captured Monster
25056;Captured Mandragora;Gefangener Mandragora;Captured Monster
25068;Captured Vile Plant;Gefangene Abscheuliche Pflanze;Captured Monster
25080;Captured Anthrovore;Gefangener Fleischfresser;Captured Monster
25092;Captured Mandragora;Gefangener Mandragora;Captured Monster
25104;Captured Red Tears;Gefangene Rotträne;Captured Monster
25116;Captured Deadwood;Gefangener Todesbann;Captured Monster
25128;Captured Rotten Plant;Gefangene Verfaulte Pflanze;Captured Monster
25140;Captured Rotten Tears;Gefangene Verfaulte Träne;Captured Monster
25152;Captured Raging Persephone;Gefangene Wütende Persephone;Captured Monster
25164;Captured Condemner;Gefangene Verdammnis;Captured Monster
25176;Captured Weeper;Gefangene Trauer;Captured Monster
25188;Captured Narcissus;Gefangene Narzisse;Captured Monster
25200;Captured Vicious Plant;Gefangene Bösartige Pflanze;Captured Monster
25212;Captured Feralwood;Gefangener Wildbaum;Captured Monster
25224;Captured Spiritwood;Gefangener Seelenbaum;Captured Monster
25236;Captured Vicious Plant;Gefangene Bösartige Pflanze;Captured Monster
25248;Captured Feralwood;Gefangener Wildbaum;Captured Monster
25260;Captured Godwood;Gefangener Götterbaum;Captured Monster
25272;Captured King Plant;Gefangene Königspflanze;Captured Monster
25284;Captured Longhorn;Gefangenes Langhorn;Captured Monster
25296;Captured Deatheater;Gefangener Todesfresser;Captured Monster
25308;Captured Ruddywood;Gefangener Rotbaum;Captured Monster
25320;Captured Miasmic Reaper;Gefangener Ansteckender Sensenmann;Captured Monster
25332;Captured Ashvastha;Gefangener Ashvastha;Captured Monster
25344;Captured Irminsul;Gefangener Irminsul;Captured Monster
25356;Captured Devilwood;Gefangener Teufelsbaum;Captured Monster
25368;Captured Evil Eye;Gefangenes Böses Auge;Captured Monster
25380;Captured Manhunter;Gefangener Menschenjäger;Captured Monster
25392;Captured Death;Gefangener Tod;Captured Monster
25404;Captured Dark Helios;Gefangener Dunkler Helios;Captured Monster
25416;Captured Blackmoon;Gefangener Schwarzmond;Captured Monster
25428;Captured Eye of Damnation;Gefangenes Auge der Verdammnis;Captured Monster
25440;Captured Eye of Doom;Gefangenes Auge des Unheils;Captured Monster
25452;Captured Eye of Terror;Gefangenes Auge des Terrors;Captured Monster
25464;Captured Observer;Gefangener Beobachter;Captured Monster
25476;Captured Monopole;Gefangener Beobachter;Captured Monster
25488;Captured Eye of Flame;Gefangenes Flammenauge;Captured Monster
25500;Captured Dragon;Gefangener Drache;Captured Monster
25512;Captured Abelisk;Gefangener Abelisk;Captured Monster
25524;Captured Brynhildr;Gefangene Brünnhilde;Captured Monster
25536;Captured Dread Dragon;Gefangener Furchterregender Drache;Captured Monster
25548;Captured Noble Abelisk;Gefangener Stattlicher Abelisk;Captured Monster
25560;Captured Glorious Brynhildr;Gefangene Glorreiche Brünnhilde;Captured Monster
25572;Captured Goko;Gefangener Goko;Captured Monster
25584;Captured Gomei;Gefangener Gomei;Captured Monster
25596;Captured Gojun;Gefangener Gojun;Captured Monster
25608;Captured Go;Gefangener Go;Captured Monster
25620;Captured Sirrush;Gefangener Sirrush;Captured Monster
25632;Captured Falak;Gefangener Falak;Captured Monster
25644;Captured Bai Ze;Gefangener Bai Ze;Captured Monster
25656;Captured Holy Servant;Gefangener Heiliger Diener;Captured Monster
25668;Captured Giant;Gefangener Riese;Captured Monster
25680;Captured Barbarossa;Gefangener Barbarossa;Captured Monster
25692;Captured Ancbolder;Gefangener Ancbolder;Captured Monster
25704;Captured Sledgehammer;Gefangener Vorschlaghammer;Captured Monster
25716;Captured Caligula;Gefangener Caligula;Captured Monster
25728;Captured Austri;Gefangener Ostri;Captured Monster
25740;Captured Vestri;Gefangener Westri;Captured Monster
25752;Captured Quebradora;Gefangene Quebradora;Captured Monster
25764;Captured Ymir;Gefangene Ymir;Captured Monster
25776;Captured Nordri;Gefangener Nordri;Captured Monster
25788;Captured Sudri;Gefangener Südri;Captured Monster
25800;Captured Albic Qisti;Gefangener Albik-Qisti;Captured Monster
25812;Captured Hiruko;Gefangene Hiruko;Captured Monster
25824;Captured Axolotl;Gefangener Axolotl;Captured Monster
25836;Captured Hangman;Gefangener Henker;Captured Monster
25848;Captured Puck;Gefangener Puck;Captured Monster
25860;Captured Harpylia;Gefangene Harpylia;Captured Monster
25872;Captured Valkyrie;Gefangene Walküre;Captured Monster
