Value;English;Att;M-Att;Def;M-Def;Eva;M-Eva
8323137;Auld Khukuri;73;73;27;28;15;0
8323138;Gladius;60;60;20;24;8;0
8323139;Gladius Magnus;80;80;28;28;10;0
8323140;Gladius Maximus;117;117;45;45;13;0
8323141;Gladius Fortis;131;80;49;28;14;0
8323142;Gladius Mysticus;80;128;28;47;14;0
8323143;Gladius Antiquitis;104;102;38;37;13;0
8323144;Bladebreaker;85;88;33;33;14;0
8323145;Superior Bladebreaker;118;121;48;46;19;0
8323146;Superlative Bladebreaker;144;144;59;56;24;0
8323147;Flame Bladebreaker;109;110;45;44;23;0
8323148;Storm Bladebreaker;111;111;44;43;23;0
8323149;Frost Bladebreaker;111;113;42;43;23;0
8323150;Caustic Bladebreaker;111;111;43;46;23;0
8323151;Poison Bladebreaker;113;109;42;45;23;0
8323152;Shielding Bladebreaker;163;121;66;46;27;0
8323153;Enchanted Bladebreaker;118;162;48;62;27;0
8323154;Auld Bladebreaker;111;109;42;46;22;0
8323155;Dagger;29;28;12;10;8;0
8323156;Stoneblade;41;20;13;13;11;0
8323157;Kris;25;48;15;13;13;0
8323158;Predator Spur;39;37;13;14;16;0
8323159;Despair's Edge;44;45;8;27;18;0
8323160;Predator Tusk;46;41;15;16;20;0
8323161;Assassin's Dagger;72;4;8;9;23;0
8323162;Kris of the Downfallen;29;64;19;21;27;0
8323163;Scramasax;63;61;21;23;23;0
8323164;Crimson Dagger;85;54;33;21;25;0
8323165;Kris Naga;39;99;29;28;26;0
8323166;Chopper;95;41;30;15;22;0
8323167;Katzbalger;89;90;36;33;25;0
8323168;Masqueraid;39;127;36;39;24;0
8323169;Dark Dirk;132;136;49;52;36;0
8323170;Broadsword;19;19;5;6;4;0
8323171;Combat Broadsword;33;25;11;8;6;0
8323172;Warrior's Broadsword;41;33;11;13;8;0
8323173;Commander's Broadsword;48;40;18;13;10;0
8323174;Elite's Broadsword;61;50;21;16;12;0
8323175;Champion's Broadsword;71;59;21;19;14;0
8323176;Warlord's Broadsword;83;70;29;20;16;0
8323177;Divine Broadsword;92;78;32;26;19;0
8323178;Draconile Broadsword;95;78;29;26;17;0
8323179;Prismic Broadsword;78;96;26;30;19;0
8323180;Damascene Broadsword;119;98;39;32;20;0
8323181;Auld Broadsword;86;69;27;22;15;0
8323182;Rapier;23;24;5;7;4;0
8323183;Combat Rapier;29;38;7;11;6;0
8323184;Warrior's Rapier;40;49;11;17;8;0
8323185;Commander's Rapier;50;59;13;20;10;0
8323186;Elite's Rapier;60;76;16;20;12;0
8323187;Champion's Rapier;68;85;21;26;14;0
8323188;Warlord's Rapier;83;99;25;33;16;0
8323189;Divine Rapier;92;112;28;33;19;0
8323190;Draconile Rapier;127;92;40;28;17;0
8323191;Prismic Rapier;92;125;28;41;19;0
8323192;Damascene Rapier;112;139;32;39;20;0
8323193;Auld Rapier;87;105;24;32;15;0
8323194;Spatha;39;40;13;13;8;0
8323195;Spatha Militaris;50;50;14;17;11;0
8323196;Spatha Bellatoris;59;55;20;21;12;0
8323197;Spatha Praetorius;63;64;22;24;14;0
8323198;Spatha Nobilatis;80;84;27;30;16;0
8323199;Spatha Heroicus;95;93;31;30;20;0
8323200;Spatha Imperatoris;100;103;37;34;21;0
8323201;Spatha Caelestis;108;112;39;38;25;0
8323202;Spatha Serpentis;119;108;38;39;23;0
8323203;Spatha Crystallus;108;117;39;39;26;0
8323204;Spatha Adamanteus;132;131;46;45;28;0
8323205;Spatha Antiquitis;104;104;36;36;19;0
8323206;Longsword;66;52;21;16;10;0
8323207;Superior Longsword;90;74;28;25;14;0
8323208;Superlative Longsword;134;109;45;34;17;0
8323209;Might Longsword;149;74;52;25;19;0
8323210;Runic Longsword;74;148;25;49;19;0
8323211;Auld Longsword;119;97;40;34;17;0
8323212;Tuck;55;68;19;22;11;0
8323213;Superior Tuck;77;95;23;28;16;0
8323214;Superlative Tuck;112;137;34;43;20;0
8323215;Might Tuck;148;77;48;23;22;0
8323216;Runic Tuck;77;153;23;47;22;0
8323217;Auld Tuck;96;122;32;36;20;0
8323218;Bluesteel;93;90;29;29;12;0
8323219;Superior Bluesteel;129;127;37;38;17;0
8323220;Superlative Bluesteel;156;157;46;49;22;0
8323221;Flame Bluesteel;117;119;34;37;20;0
8323222;Storm Bluesteel;121;117;37;38;20;0
8323223;Frost Bluesteel;117;117;35;36;20;0
8323224;Caustic Bluesteel;119;121;35;34;20;0
8323225;Poison Bluesteel;119;121;37;36;20;0
8323226;Shielding Bluesteel;174;127;55;38;24;0
8323227;Enchanted Bluesteel;127;174;38;53;24;0
8323228;Auld Bluesteel;119;119;38;38;19;0
8323229;Shamshir;50;41;19;11;8;0
8323230;Singlesword;56;49;20;17;8;0
8323231;Runesword;49;75;15;26;8;0
8323232;Curtana;66;78;20;25;11;0
8323233;Athlumian;60;46;20;16;10;0
8323234;Ridill;64;93;13;40;13;0
8323235;Goblin's Guile;79;78;24;25;12;0
8323236;Durendal;104;70;32;24;13;0
8323237;Danse Macabre;73;111;26;35;15;0
8323238;Drakescale Edge;143;9;29;3;14;0
8323239;Joyeuse;100;102;31;34;16;0
8323240;Steelwind;10;145;16;51;16;0
8323241;Lævateinn;164;6;55;35;18;0
8323242;Bastardsword;21;18;4;3;3;0
8323243;Combat Bastardsword;28;32;9;5;5;0
8323244;Warrior's Bastardsword;38;40;11;12;6;0
8323245;Commander's Bastardsword;47;48;13;12;8;0
8323246;Elite's Bastardsword;61;57;16;13;9;0
8323247;Champion's Bastardsword;69;68;18;17;11;0
8323248;Warlord's Bastardsword;82;82;19;20;13;0
8323249;Divine Bastardsword;88;91;22;21;15;0
8323250;Draconile Bastardsword;100;91;24;21;13;0
8323251;Prismic Bastardsword;91;98;21;27;15;0
8323252;Damascene Bastardsword;113;112;28;30;16;0
8323253;Auld Bastardsword;83;82;20;22;12;0
8323254;Claymore;37;45;13;15;6;0
8323255;Combat Claymore;44;56;16;18;8;0
8323256;Warrior's Claymore;53;61;18;24;9;0
8323257;Commander's Claymore;57;72;22;27;11;0
8323258;Elite's Claymore;73;86;26;35;13;0
8323259;Champion's Claymore;81;104;31;38;16;0
8323260;Warlord's Claymore;91;110;33;38;17;0
8323261;Divine Claymore;97;120;35;43;20;0
8323262;Draconile Claymore;128;97;47;35;18;0
8323263;Prismic Claymore;97;128;35;50;21;0
8323264;Damascene Claymore;115;142;44;50;22;0
8323265;Auld Claymore;92;111;32;38;15;0
8323266;Zweihänder;70;58;18;17;8;0
8323267;Superior Zweihänder;94;75;28;20;10;0
8323268;Superlative Zweihänder;135;109;37;34;13;0
8323269;Might Zweihänder;151;75;44;20;14;0
8323270;Runic Zweihänder;75;154;20;42;14;0
8323271;Auld Zweihänder;121;98;33;29;13;0
8323272;Highbrand;95;93;28;29;11;0
8323273;Superior Highbrand;132;128;39;38;15;0
8323274;Superlative Highbrand;159;157;43;43;19;0
8323275;Flame Highbrand;118;119;34;37;18;0
8323276;Storm Highbrand;122;118;34;35;18;0
8323277;Frost Highbrand;120;121;34;34;18;0
8323278;Caustic Highbrand;119;122;34;36;18;0
8323279;Poison Highbrand;119;122;34;35;18;0
8323280;Shielding Highbrand;177;128;49;38;21;0
8323281;Enchanted Highbrand;128;175;38;51;21;0
8323282;Auld Highbrand;121;119;36;34;17;0
8323283;Predator Wing;45;35;10;8;7;0
8323284;Flamberge;40;51;11;13;7;0
8323285;Knightsaber;54;55;28;24;9;0
8323286;Highland Claymore;73;59;20;17;12;0
8323287;Defender;62;63;32;32;30;0
8323288;Fellswoop;111;1;1;1;1;0
8323289;Leprechaun's Leap;82;81;23;23;14;0
8323290;Runeblade;79;101;21;29;12;0
8323291;Undelwaltan;100;79;28;23;13;0
8323292;Sword of Seven;137;136;38;37;25;0
8323293;Grandsword;25;23;8;8;3;0
8323294;Combat Grandsword;38;37;11;10;5;0
8323295;Warrior's Grandsword;50;47;13;12;6;0
8323296;Commander's Grandsword;58;57;15;15;8;0
8323297;Elite's Grandsword;73;71;15;16;9;0
8323298;Champion's Grandsword;81;82;22;19;11;0
8323299;Warlord's Grandsword;94;94;25;23;13;0
8323300;Divine Grandsword;106;109;29;29;15;0
8323301;Draconile Grandsword;118;106;30;29;13;0
8323302;Prismic Grandsword;106;118;29;32;15;0
8323303;Damascene Grandsword;128;131;31;32;16;0
8323304;Auld Grandsword;98;98;27;23;12;0
8323305;Masterblade;92;96;26;28;11;0
8323306;Superior Masterblade;131;130;35;38;15;0
8323307;Superlative Masterblade;161;161;45;44;19;0
8323308;Flame Masterblade;123;120;32;32;18;0
8323309;Storm Masterblade;122;123;34;31;18;0
8323310;Frost Masterblade;123;124;34;32;18;0
8323311;Caustic Masterblade;122;120;32;32;18;0
8323312;Poison Masterblade;121;124;32;31;18;0
8323313;Shielding Masterblade;178;130;49;38;21;0
8323314;Enchanted Masterblade;130;180;38;49;21;0
8323315;Auld Masterblade;122;124;35;35;17;0
8323316;Gram;69;56;21;15;11;0
8323317;Troll's Trickery;89;75;23;21;16;0
8323318;Deathbringer;106;90;30;25;18;0
8323319;Slaughterknife;145;115;37;33;0;0
8323320;Wakizashi;18;18;5;3;2;0
8323321;Battle Wakizashi;29;32;9;8;2;0
8323322;Ronin Wakizashi;39;41;11;12;3;0
8323323;Samurai Wakizashi;50;48;12;14;4;0
8323324;Daimyo Wakizashi;57;59;14;16;5;0
8323325;Ninja Wakizashi;67;66;17;18;5;0
8323326;Shogun Wakizashi;80;82;22;20;6;0
8323327;Sacred Wakizashi;90;88;23;20;8;0
8323328;Wyrm Wakizashi;101;88;25;20;7;0
8323329;Gem Wakizashi;88;102;20;27;8;0
8323330;Mithril Wakizashi;114;110;26;29;8;0
8323331;Ancient Wakizashi;85;82;20;23;6;0
8323332;Falchion;42;45;9;12;3;0
8323333;Combat Falchion;51;50;13;13;4;0
8323334;Warrior's Falchion;63;63;16;17;5;0
8323335;Commander's Falchion;72;71;19;19;6;0
8323336;Elite's Falchion;87;86;21;22;7;0
8323337;Champion's Falchion;102;99;25;23;8;0
8323338;Warlord's Falchion;108;112;26;27;8;0
8323339;Divine Falchion;116;117;30;29;10;0
8323340;Draconile Falchion;128;116;29;30;9;0
8323341;Prismic Falchion;116;127;30;29;10;0
8323342;Damascene Falchion;140;138;34;35;11;0
8323343;Auld Falchion;108;109;25;28;8;0
8323344;Cutlass;65;64;16;14;4;0
8323345;Superior Cutlass;94;94;22;23;5;0
8323346;Superlative Cutlass;144;142;34;37;6;0
8323347;Might Cutlass;159;94;39;22;7;0
8323348;Runic Cutlass;94;159;22;39;7;0
8323349;Auld Cutlass;113;115;30;28;6;0
8323350;Stormwind;45;52;12;14;2;0
8323351;Rosethorn;69;84;15;23;2;0
8323352;Ondine's Wrath;96;120;26;30;3;0
8323353;Katana;23;21;3;4;2;0
8323354;Battle Katana;31;29;6;4;2;0
8323355;Ronin Katana;43;40;7;7;3;0
8323356;Samurai Katana;48;51;9;7;4;0
8323357;Daimyo Katana;61;63;9;13;5;0
8323358;Ninja Katana;73;71;11;15;5;0
8323359;Shogun Katana;86;82;15;16;6;0
8323360;Sacred Katana;95;93;20;20;8;0
8323361;Wyrm Katana;105;93;19;20;7;0
8323362;Gem Katana;93;105;20;19;8;0
8323363;Mithril Katana;119;115;23;21;8;0
8323364;Ancient Katana;89;90;16;16;6;0
8323365;Scimitar;46;46;9;8;3;0
8323366;Combat Scimitar;54;53;13;12;4;0
8323367;Warrior's Scimitar;64;61;14;16;5;0
8323368;Commander's Scimitar;71;74;17;16;6;0
8323369;Elite's Scimitar;88;92;22;19;7;0
8323370;Champion's Scimitar;104;104;24;24;8;0
8323371;Warlord's Scimitar;113;112;24;26;8;0
8323372;Divine Scimitar;122;122;28;28;10;0
8323373;Draconile Scimitar;131;122;28;28;9;0
8323374;Prismic Scimitar;122;129;28;30;10;0
8323375;Damascene Scimitar;143;144;34;34;11;0
8323376;Auld Scimitar;112;113;26;25;8;0
8323377;Tataraichi;96;100;24;20;5;0
8323378;Excellent Tataraichi;136;135;30;28;6;0
8323379;Optimal Tataraichi;168;166;38;38;8;0
8323380;Fire Tataraichi;126;126;29;29;8;0
8323381;Bolt Tataraichi;126;128;26;26;8;0
8323382;Ice Tataraichi;128;125;26;29;8;0
8323383;Lytic Tataraichi;128;125;30;28;8;0
8323384;Venom Tataraichi;126;129;27;29;8;0
8323385;Parrying Tataraichi;184;135;41;28;9;0
8323386;Aura Tataraichi;135;185;28;43;9;0
8323387;Ancient Tataraichi;129;125;27;27;7;0
8323388;Samurai Sword;64;51;15;12;2;0
8323389;Crescentmoon;63;76;12;18;3;0
8323390;Dragonfly;69;88;15;16;3;0
8323391;Kotetsu;113;94;24;19;3;0
8323392;Kelpie's Curse;99;119;21;25;4;0
8323393;Blackbeak;169;138;39;31;5;0
8323394;Otachi;26;23;3;3;1;0
8323395;Battle Otachi;38;35;7;5;1;0
8323396;Ronin Otachi;50;52;10;8;2;0
8323397;Samurai Otachi;60;58;14;10;2;0
8323398;Daimyo Otachi;76;76;16;12;2;0
8323399;Ninja Otachi;86;85;18;18;3;0
8323400;Shogun Otachi;100;100;18;19;3;0
8323401;Sacred Otachi;110;110;21;23;4;0
8323402;Wyrm Otachi;127;110;25;23;3;0
8323403;Gem Otachi;110;127;23;24;4;0
8323404;Mithril Otachi;139;139;27;29;4;0
8323405;Ancient Otachi;106;105;19;21;3;0
8323406;Demonblade;99;99;21;21;3;0
8323407;Superior Demonblade;141;142;27;29;4;0
8323408;Superlative Demonblade;170;172;36;35;5;0
8323409;Flame Demonblade;131;132;28;26;5;0
8323410;Storm Demonblade;128;131;24;27;5;0
8323411;Frost Demonblade;132;132;24;27;5;0
8323412;Caustic Demonblade;129;128;26;25;5;0
8323413;Poison Demonblade;132;130;26;24;5;0
8323414;Shielding Demonblade;191;142;36;29;6;0
8323415;Enchanted Demonblade;142;190;29;37;6;0
8323416;Auld Demonblade;130;128;28;28;5;0
8323417;Elysion;42;42;10;6;2;0
8323418;Wingclipper;96;81;17;14;3;0
8323419;Mermaid's Malice;78;98;16;16;3;0
8323420;Easternlord;127;126;8;9;4;0
8323421;Mistcutter;103;125;21;24;4;0
8323422;Murasame;153;125;31;23;5;0
8323423;Uchigatana;27;28;3;6;1;0
8323424;Battle Uchigatana;40;38;6;7;1;0
8323425;Ronin Uchigatana;52;54;10;8;2;0
8323426;Samurai Uchigatana;64;65;10;11;2;0
8323427;Daimyo Uchigatana;78;80;15;15;2;0
8323428;Ninja Uchigatana;93;90;15;17;3;0
8323429;Shogun Uchigatana;109;109;20;18;3;0
8323430;Sacred Uchigatana;119;121;23;22;4;0
8323431;Wyrm Uchigatana;136;119;24;23;3;0
8323432;Gem Uchigatana;119;135;23;27;4;0
8323433;Mithril Uchigatana;145;145;27;28;4;0
8323434;Ancient Uchigatana;114;113;21;20;3;0
8323435;Alp's Nightmare;53;65;11;8;4;0
8323436;Dragonsbane;81;65;17;10;4;0
8323437;Silvermoon;88;109;16;20;4;0
8323438;Bonecleaver;125;104;24;19;6;0
8323439;Muramasa;164;166;32;31;7;0
8323440;Hatchet;24;16;8;5;3;0
8323441;Combat Hatchet;33;22;11;7;5;0
8323442;Warrior's Hatchet;42;29;14;11;6;0
8323443;Commander's Hatchet;52;33;21;12;8;0
8323444;Elite's Hatchet;64;42;22;14;9;0
8323445;Champion's Hatchet;75;50;29;20;11;0
8323446;Warlord's Hatchet;85;56;36;21;13;0
8323447;Divine Hatchet;103;67;41;27;15;0
8323448;Draconile Hatchet;114;67;47;27;13;0
8323449;Prismic Hatchet;67;116;27;46;15;0
8323450;Damascene Hatchet;136;94;53;35;16;0
8323451;Auld Hatchet;89;61;35;25;12;0
8323452;Broadaxe;49;32;19;10;5;0
8323453;Combat Broadaxe;58;40;24;15;6;0
8323454;Warrior's Broadaxe;68;46;26;17;7;0
8323455;Commander's Broadaxe;75;53;29;18;8;0
8323456;Elite's Broadaxe;95;63;38;25;10;0
8323457;Champion's Broadaxe;110;75;43;28;12;0
8323458;Warlord's Broadaxe;122;79;47;30;13;0
8323459;Divine Broadaxe;137;88;53;33;15;0
8323460;Draconile Broadaxe;142;88;52;33;14;0
8323461;Prismic Broadaxe;88;142;33;55;16;0
8323462;Damascene Broadaxe;166;110;59;42;17;0
8323463;Auld Broadaxe;121;78;43;30;11;0
8323464;Stone Axe;64;34;28;15;4;0
8323465;Ladyhawk;108;57;43;22;6;0
8323466;Knocker's Peril;128;69;48;25;7;0
8323467;Francisca;26;14;8;6;3;0
8323468;Combat Francisca;35;21;13;7;5;0
8323469;Warrior's Francisca;46;30;12;8;6;0
8323470;Commander's Francisca;57;36;14;11;8;0
8323471;Elite's Francisca;67;45;21;13;9;0
8323472;Champion's Francisca;78;52;25;15;11;0
8323473;Warlord's Francisca;89;59;28;18;13;0
8323474;Divine Francisca;102;67;34;20;15;0
8323475;Draconile Francisca;112;67;37;20;13;0
8323476;Prismic Francisca;67;117;20;37;15;0
8323477;Damascene Francisca;130;86;40;27;16;0
8323478;Auld Francisca;94;61;33;20;12;0
8323479;Tomahawk;27;13;7;6;3;0
8323480;Combat Tomahawk;38;20;13;6;5;0
8323481;Warrior's Tomahawk;46;29;13;10;6;0
8323482;Commander's Tomahawk;58;34;20;10;8;0
8323483;Elite's Tomahawk;68;43;23;12;9;0
8323484;Champion's Tomahawk;77;47;24;16;11;0
8323485;Warlord's Tomahawk;95;59;33;20;13;0
8323486;Divine Tomahawk;109;62;33;20;15;0
8323487;Draconile Tomahawk;121;62;39;20;13;0
8323488;Prismic Tomahawk;62;119;20;39;15;0
8323489;Damascene Tomahawk;135;78;43;26;16;0
8323490;Auld Tomahawk;99;60;30;18;12;0
8323491;Splitter;70;52;21;17;6;0
8323492;Superior Splitter;99;72;33;23;9;0
8323493;Superlative Splitter;138;101;44;35;11;0
8323494;Might Splitter;153;72;50;23;12;0
8323495;Runic Splitter;72;158;23;53;12;0
8323496;Auld Splitter;122;91;39;31;11;0
8323497;Hawkwind;102;83;31;28;9;0
8323498;Superior Hawkwind;138;112;44;39;13;0
8323499;Superlative Hawkwind;170;140;57;48;16;0
8323500;Flame Hawkwind;131;106;40;33;15;0
8323501;Storm Hawkwind;128;106;43;36;15;0
8323502;Frost Hawkwind;126;107;42;34;15;0
8323503;Caustic Hawkwind;130;105;42;34;15;0
8323504;Poison Hawkwind;131;106;44;37;15;0
8323505;Shielding Hawkwind;189;112;62;39;18;0
8323506;Enchanted Hawkwind;112;186;39;62;18;0
8323507;Auld Hawkwind;128;103;46;33;14;0
8323508;Baalukian;50;38;20;11;3;0
8323509;Waraxe;97;61;34;20;6;0
8323510;Kobold's Cunning;62;115;20;33;6;0
8323511;Wyrmrazor;120;87;38;28;8;0
8323512;Tabar-Zin;24;14;4;4;2;0
8323513;Combat Tabar-Zin;35;25;10;6;4;0
8323514;Warrior's Tabar-Zin;46;31;13;7;5;0
8323515;Commander's Tabar-Zin;60;40;15;8;6;0
8323516;Elite's Tabar-Zin;68;46;18;12;7;0
8323517;Champion's Tabar-Zin;83;55;19;14;8;0
8323518;Warlord's Tabar-Zin;94;64;23;15;10;0
8323519;Divine Tabar-Zin;105;72;29;17;12;0
8323520;Draconile Tabar-Zin;120;72;29;17;10;0
8323521;Prismic Tabar-Zin;72;120;17;28;11;0
8323522;Damascene Tabar-Zin;135;91;35;21;12;0
8323523;Auld Tabar-Zin;103;66;23;16;9;0
8323524;Sagaris;47;37;14;9;3;0
8323525;Sagaris Militaris;59;43;17;12;4;0
8323526;Sagaris Bellatoris;72;49;19;15;5;0
8323527;Sagaris Praetorius;78;58;20;18;6;0
8323528;Sagaris Nobilatis;102;75;29;20;7;0
8323529;Sagaris Heroicus;113;83;29;21;8;0
8323530;Sagaris Imperatoris;125;90;36;25;8;0
8323531;Sagaris Caelestis;135;101;35;25;10;0
8323532;Sagaris Serpentis;145;101;42;25;9;0
8323533;Sagaris Crystallus;101;141;25;40;10;0
8323534;Sagaris Adamanteus;160;115;42;33;11;0
8323535;Sagaris Antiquitis;120;90;36;26;8;0
8323536;Executioner;71;53;19;14;5;0
8323537;Superior Executioner;109;77;29;22;7;0
8323538;Superlative Executioner;160;118;45;35;9;0
8323539;Might Executioner;177;77;50;22;10;0
8323540;Runic Executioner;77;181;22;51;10;0
8323541;Auld Executioner;115;83;32;22;8;0
8323542;Slasher;75;39;17;12;5;0
8323543;Ghorian;73;52;22;13;5;0
8323544;Goldenaxe;66;69;17;18;6;0
8323545;Merman's Rage;58;76;16;20;6;0
8323546;Djinslayer;69;128;18;36;10;0
8323547;Fellwyrm;175;115;46;31;12;0
8323548;Grandaxe;31;20;7;6;2;0
8323549;Combat Grandaxe;45;27;11;6;4;0
8323550;Warrior's Grandaxe;57;39;13;9;5;0
8323551;Commander's Grandaxe;68;46;14;11;6;0
8323552;Elite's Grandaxe;84;56;20;12;7;0
8323553;Champion's Grandaxe;100;63;25;17;8;0
8323554;Warlord's Grandaxe;117;75;31;19;10;0
8323555;Divine Grandaxe;131;86;33;20;12;0
8323556;Draconile Grandaxe;143;86;34;20;10;0
8323557;Prismic Grandaxe;86;147;20;37;11;0
8323558;Damascene Grandaxe;154;101;36;26;12;0
8323559;Auld Grandaxe;121;81;31;19;9;0
8323560;Smiter;105;85;29;22;8;0
8323561;Superior Smiter;148;121;37;29;11;0
8323562;Superlative Smiter;179;145;43;36;14;0
8323563;Flame Smiter;138;113;32;28;13;0
8323564;Storm Smiter;135;113;36;26;13;0
8323565;Frost Smiter;138;110;36;26;13;0
8323566;Caustic Smiter;136;110;33;30;13;0
8323567;Poison Smiter;139;112;32;30;13;0
8323568;Shielding Smiter;200;121;52;29;15;0
8323569;Enchanted Smiter;121;202;29;49;15;0
8323570;Auld Smiter;138;112;36;26;12;0
8323571;Silverheft;59;68;16;18;5;0
8323572;Berserker Axe;98;54;22;15;6;0
8323573;White Tiger;77;102;17;27;8;0
8323574;Deathmask;123;66;30;17;9;0
8323575;Cataclysm;151;0;35;0;10;0
8323576;Dwarf's Grudge;76;142;19;38;9;0
8323577;Tamahakan;176;116;42;28;12;0
8323578;Mace;15;22;7;10;2;0
8323579;Combat Mace;23;34;8;14;4;0
8323580;Warrior's Mace;28;42;10;18;5;0
8323581;Commander's Mace;36;50;15;18;6;0
8323582;Elite's Mace;41;62;16;21;7;0
8323583;Champion's Mace;50;71;19;28;8;0
8323584;Warlord's Mace;57;89;22;36;10;0
8323585;Divine Mace;65;94;26;40;12;0
8323586;Draconile Mace;111;65;40;26;10;0
8323587;Prismic Mace;65;105;26;43;11;0
8323588;Damascene Mace;79;123;30;45;12;0
8323589;Auld Mace;62;91;23;35;9;0
8323590;Morningstar;77;93;31;35;6;0
8323591;Superior Morningstar;107;132;42;52;8;0
8323592;Superlative Morningstar;133;163;53;63;11;0
8323593;Flame Morningstar;98;122;41;51;10;0
8323594;Storm Morningstar;100;124;42;47;10;0
8323595;Frost Morningstar;99;123;39;51;10;0
8323596;Caustic Morningstar;99;120;41;49;10;0
8323597;Poison Morningstar;100;124;41;50;10;0
8323598;Shielding Morningstar;182;100;71;41;12;0
8323599;Enchanted Morningstar;100;181;41;71;12;0
8323600;Auld Morningstar;98;122;38;48;10;0
8323601;Royotian;46;38;16;14;3;0
8323602;Ramskull;64;54;23;22;4;0
8323603;Power Mallet;93;75;35;29;4;0
8323604;Striker;16;23;6;7;2;0
8323605;Combat Striker;24;33;9;8;4;0
8323606;Warrior's Striker;30;47;10;14;5;0
8323607;Commander's Striker;38;54;11;19;6;0
8323608;Elite's Striker;44;68;13;21;7;0
8323609;Champion's Striker;52;78;17;23;8;0
8323610;Warlord's Striker;60;91;20;28;10;0
8323611;Divine Striker;69;102;21;30;12;0
8323612;Draconile Striker;116;69;38;21;10;0
8323613;Prismic Striker;69;113;21;35;11;0
8323614;Damascene Striker;85;129;27;39;12;0
8323615;Auld Striker;63;93;19;28;9;0
8323616;Club;35;44;14;17;3;0
8323617;Combat Club;42;54;14;19;4;0
8323618;Warrior's Club;52;61;19;19;5;0
8323619;Commander's Club;58;71;19;23;6;0
8323620;Elite's Club;74;88;25;30;7;0
8323621;Champion's Club;86;103;29;34;8;0
8323622;Warlord's Club;91;114;31;40;8;0
8323623;Divine Club;99;123;35;41;10;0
8323624;Draconile Club;131;99;44;35;9;0
8323625;Prismic Club;99;129;35;47;10;0
8323626;Damascene Club;119;144;38;48;11;0
8323627;Auld Club;90;114;32;41;8;0
8323628;Scythe;52;68;19;22;5;0
8323629;Superior Scythe;81;101;27;32;7;0
8323630;Superlative Scythe;121;148;39;49;9;0
8323631;Might Scythe;167;81;53;27;10;0
8323632;Runic Scythe;81;163;27;54;10;0
8323633;Auld Scythe;95;119;33;39;8;0
8323634;Spriggan's Scourge;56;38;20;10;3;0
8323635;Banded Mace;64;44;21;14;3;0
8323636;Phalanx Mace;97;65;31;20;5;0
8323637;Sledgehammer;17;25;4;7;2;0
8323638;Combat Sledgehammer;25;38;4;9;2;0
8323639;Warrior's Sledgehammer;30;49;8;10;3;0
8323640;Commander's Sledgehammer;40;60;9;17;4;0
8323641;Elite's Sledgehammer;45;72;10;17;5;0
8323642;Champion's Sledgehammer;53;79;14;18;5;0
8323643;Warlord's Sledgehammer;63;95;15;21;6;0
